Date,Open,High,Low,Close,Adj Close,Volume
2014-09-29,100.589996,100.690002,98.040001,99.620003,93.514290,142718700
2014-10-06,99.949997,102.379997,98.309998,100.730003,94.556244,280258200
2014-10-13,101.330002,101.779999,95.180000,97.669998,91.683792,358539800
2014-10-20,98.320000,105.489998,98.220001,105.220001,98.771042,358532900
2014-10-27,104.849998,108.040001,104.699997,108.000000,101.380676,220230600
2014-11-03,108.220001,110.300003,107.720001,109.010002,102.328766,199952900
2014-11-10,109.019997,114.190002,108.400002,114.180000,107.646675,205166700
2014-11-17,114.269997,117.570000,113.300003,116.470001,109.805626,233414700
2014-11-24,116.849998,119.750000,116.620003,118.930000,112.124863,181873900
2014-12-01,118.809998,119.250000,111.269997,115.000000,108.419746,266589700
2014-12-08,114.099998,114.849998,109.349998,109.730003,103.451294,259868000
2014-12-15,110.699997,113.239998,106.260002,111.779999,105.383980,328856600
2014-12-22,112.160004,114.519997,111.970001,113.989998,107.467529,119396500
2014-12-29,113.790001,114.769997,107.349998,109.330002,103.074181,152088400
2015-01-05,108.290001,113.250000,104.629997,112.010002,105.600830,283252500
2015-01-12,112.599998,112.800003,105.199997,105.989998,99.925285,303607000
2015-01-19,107.839996,113.750000,106.500000,112.980003,106.515343,198737000
2015-01-26,113.739998,120.000000,109.029999,117.160004,110.456146,465842700
2015-02-02,118.050003,120.510002,116.080002,118.930000,112.124863,270757300
2015-02-09,118.550003,127.480003,118.430000,127.080002,120.281372,303206800
2015-02-16,127.489998,129.500000,126.919998,129.500000,122.571915,194354900
2015-02-23,130.020004,133.600006,126.610001,128.460007,121.587555,368216200
2015-03-02,129.250000,130.279999,125.760002,126.599998,119.827042,246938500
2015-03-09,127.959999,129.570007,121.629997,123.589996,116.978073,326514100
2015-03-16,123.879997,129.250000,122.870003,125.900002,119.164505,266672900
2015-03-23,127.120003,128.039993,122.599998,123.250000,116.656273,209326300
2015-03-30,124.050003,126.489998,123.099998,125.320000,118.615524,162031800
2015-04-06,124.470001,128.119995,124.330002,127.099998,120.300301,182207500
2015-04-13,128.369995,128.570007,124.459999,124.750000,118.076019,171186100
2015-04-20,125.570000,130.630005,125.169998,130.279999,123.310150,207440700
2015-04-27,132.309998,134.539993,124.580002,128.949997,122.051315,420972300
2015-05-04,129.500000,130.570007,123.360001,127.620003,120.792480,271892000
2015-05-11,127.389999,129.490005,124.820000,128.770004,122.390060,208301500
2015-05-18,128.380005,132.970001,128.360001,132.539993,125.973259,217297400
2015-05-25,132.600006,132.910004,129.119995,130.279999,123.825241,198148600
2015-06-01,130.279999,131.389999,128.360001,128.649994,122.276009,170746700
2015-06-08,128.899994,130.179993,125.620003,127.169998,120.869339,220114600
2015-06-15,126.099998,128.309998,125.709999,126.599998,120.327568,198525200
2015-06-22,127.489998,129.800003,126.510002,126.750000,120.470139,195594000
2015-06-29,125.459999,126.940002,124.480003,126.440002,120.175491,150981900
2015-07-06,124.940002,126.230003,119.220001,123.279999,117.172066,274944900
2015-07-13,125.029999,129.619995,124.320000,129.619995,123.197937,189244900
2015-07-20,130.970001,132.970001,121.989998,124.500000,118.331619,344269000
2015-07-27,123.089996,123.910004,120.910004,121.300003,115.290154,191598600
2015-08-03,121.500000,122.570000,112.099998,115.519997,109.796532,385000600
2015-08-10,116.529999,119.989998,109.629997,115.959999,110.713608,344717200
2015-08-17,116.040001,117.650002,105.650002,105.760002,100.975098,319668200
2015-08-24,94.870003,113.309998,92.000000,113.290001,108.164406,500363000
2015-08-31,112.029999,114.529999,107.360001,109.269997,104.326286,298194200
2015-09-07,111.750000,114.209999,109.769997,114.209999,109.042786,252662700
2015-09-14,116.580002,116.889999,111.870003,113.449997,108.317177,277276000
2015-09-21,113.669998,116.690002,112.370003,114.709999,109.520172,242696300
2015-09-28,113.849998,114.570000,107.309998,110.379997,105.386070,313896300
2015-10-05,109.879997,112.279999,108.209999,112.120003,107.047340,261772800
2015-10-12,112.730003,112.750000,109.559998,111.040001,106.016205,184885000
2015-10-19,110.800003,119.230003,110.110001,119.080002,113.692459,221354200
2015-10-26,118.080002,121.220001,113.989998,119.500000,114.093460,322362200
2015-11-02,120.800003,123.820000,119.610001,121.059998,115.582863,195203400
2015-11-09,120.959999,121.809998,112.269997,112.339996,107.716499,216555300
2015-11-16,111.379997,119.919998,111.000000,119.300003,114.390068,189981200
2015-11-23,119.269997,119.730003,117.120003,117.809998,112.961388,109720400
2015-11-30,117.989998,119.410004,114.220001,119.029999,114.131180,206765800
2015-12-07,118.980003,119.860001,112.849998,113.180000,108.521950,188745500
2015-12-14,112.180000,112.800003,105.809998,106.029999,101.666199,315106400
2015-12-21,107.279999,109.000000,105.570000,108.029999,103.583900,126607800
2015-12-28,107.589996,109.430000,104.820000,105.260002,100.927895,123484500
2016-01-04,102.610001,105.849998,96.430000,96.959999,92.969490,343790200
2016-01-11,98.970001,101.190002,95.360001,97.129997,93.132492,303513300
2016-01-18,98.410004,101.459999,93.419998,101.419998,97.245926,243384100
2016-01-25,101.519997,101.529999,92.389999,97.339996,93.333847,380336500
2016-02-01,96.470001,97.330002,93.690002,94.019997,90.150482,217154800
2016-02-08,93.129997,96.349998,92.589996,93.989998,90.610756,231122300
2016-02-15,95.019997,98.889999,94.610001,96.040001,92.587051,168316300
2016-02-22,96.309998,98.019997,93.320000,96.910004,93.425774,159052900
2016-02-29,96.860001,103.750000,96.650002,103.010002,99.306450,201803800
2016-03-07,102.389999,102.830002,100.150002,102.260002,98.583405,155514300
2016-03-14,101.910004,106.500000,101.779999,105.919998,102.111832,182073200
2016-03-21,105.930000,107.650002,104.889999,105.669998,101.870811,119783600
2016-03-28,106.000000,110.419998,104.879997,109.989998,106.035492,147965000
2016-04-04,110.419998,112.190002,108.120003,108.660004,104.753311,145722600
2016-04-11,108.970001,112.389999,108.660004,109.849998,105.900528,162310000
2016-04-18,108.889999,108.949997,104.620003,105.680000,101.880447,189065500
2016-04-25,105.000000,105.650002,92.510002,93.739998,90.369751,349424100
2016-05-02,93.970001,95.900002,91.849998,92.720001,89.386421,225365600
2016-05-09,93.000000,93.769997,89.470001,90.519997,87.796822,216049800
2016-05-16,92.389999,95.430000,91.650002,95.220001,92.355438,212707200
2016-05-23,95.870003,100.730003,95.669998,100.349998,97.331093,203888300
2016-05-30,99.599998,100.400002,96.629997,97.919998,94.974190,139735000
2016-06-06,97.989998,101.889999,97.550003,98.830002,95.856812,124864400
2016-06-13,98.690002,99.120003,95.300003,95.330002,92.462112,191732600
2016-06-20,96.000000,96.889999,92.650002,93.400002,90.590179,206729000
2016-06-27,93.000000,96.470001,91.500000,95.889999,93.005264,184328400
2016-07-04,95.389999,96.889999,94.370003,96.680000,93.771507,112706000
2016-07-11,96.750000,99.300003,96.730003,98.779999,95.808327,142910600
2016-07-18,98.699997,101.000000,98.309998,98.660004,95.691940,147565500
2016-07-25,98.250000,104.550003,96.419998,104.209999,101.074974,256571000
2016-08-01,104.410004,107.650002,104.000000,107.480003,104.246605,170149200
2016-08-08,107.519997,108.940002,107.160004,108.180000,105.493942,124505800
2016-08-15,108.139999,110.230003,108.080002,109.360001,106.644638,132371400
2016-08-22,108.860001,109.320000,106.309998,106.940002,104.284737,123605500
2016-08-29,106.620003,108.000000,105.500000,107.730003,105.055122,133000600
2016-09-05,107.900002,108.760002,103.129997,103.129997,100.569328,168803700
2016-09-12,102.650002,116.129997,102.529999,114.919998,112.066589,388228200
2016-09-19,115.190002,116.180000,111.550003,112.709999,109.911469,201095700
2016-09-26,111.639999,114.639999,111.550003,113.050003,110.243034,156384000
2016-10-03,112.709999,114.559998,112.279999,114.059998,111.227943,126029400
2016-10-10,115.019997,118.690002,114.720001,117.629997,114.709305,208708400
2016-10-17,117.330002,118.209999,113.800003,116.599998,113.704872,115531500
2016-10-24,117.099998,118.360001,113.309998,113.720001,110.896393,210225600
2016-10-31,113.650002,114.230003,108.110001,108.839996,106.137550,156346500
2016-11-07,110.080002,111.720001,105.830002,108.430000,106.280617,207019500
2016-11-14,107.709999,110.540001,104.080002,110.059998,107.878304,198341400
2016-11-21,110.120003,112.419998,110.010002,111.790001,109.574020,94132400
2016-11-28,111.430000,112.470001,108.849998,109.900002,107.721481,155500000
2016-12-05,110.000000,114.699997,108.250000,113.949997,111.691200,151989600
2016-12-12,113.290001,116.730003,112.489998,115.970001,113.671158,195015600
2016-12-19,115.800003,117.500000,115.589996,116.519997,114.210243,113254700
2016-12-26,116.519997,118.019997,115.430000,115.820000,113.524132,84828600
2017-01-02,115.800003,118.160004,114.760002,117.910004,115.572708,103845500
2017-01-09,117.949997,119.930000,117.940002,119.040001,116.680298,138810700
2017-01-16,118.339996,120.500000,118.220001,120.000000,117.621269,116348000
2017-01-23,120.000000,122.440002,119.500000,121.949997,119.532608,124539300
2017-01-30,120.930000,130.490005,120.620003,129.080002,126.521278,249781200
2017-02-06,129.130005,132.940002,128.899994,132.119995,129.501022,136449200
2017-02-13,133.080002,136.270004,132.750000,135.720001,133.606430,136667500
2017-02-20,136.229996,137.479996,135.279999,136.660004,134.531784,87908900
2017-02-27,137.139999,140.279999,136.279999,139.779999,137.603180,127474000
2017-03-06,139.369995,139.979996,137.050003,139.139999,136.973145,99672200
2017-03-13,138.850006,141.020004,138.820007,139.990005,137.809906,121539600
2017-03-20,140.399994,142.800003,139.729996,140.639999,138.449783,129674000
2017-03-27,139.389999,144.500000,138.619995,143.660004,141.422775,127008900
2017-04-03,143.710007,145.460007,143.050003,143.339996,141.107742,105416200
2017-04-10,143.600006,143.880005,140.059998,141.050003,138.853424,87485700
2017-04-17,141.479996,142.919998,140.449997,142.270004,140.054428,89248500
2017-04-24,143.500000,144.899994,143.179993,143.649994,141.412903,91153700
2017-05-01,145.100006,148.979996,144.270004,148.960007,146.640244,175351700
2017-05-08,149.029999,156.419998,149.029999,156.100006,153.669052,173470600
2017-05-15,156.009995,156.649994,149.710007,153.059998,151.298309,157354900
2017-05-22,154.000000,154.899994,152.669998,153.610001,151.841980,103000000
2017-05-29,153.419998,155.449997,152.220001,155.449997,153.660797,88752900
2017-06-05,154.339996,155.979996,146.020004,148.979996,147.265274,159159700
2017-06-12,145.740005,147.500000,142.199997,142.270004,140.632507,220530400
2017-06-19,143.660004,147.160004,143.660004,146.279999,144.596344,133253000
2017-06-26,147.169998,148.279999,142.279999,144.020004,142.362366,127060200
2017-07-03,144.880005,145.300003,142.410004,144.179993,142.520508,79158400
2017-07-10,144.110001,149.330002,143.369995,149.039993,147.324570,111088400
2017-07-17,148.820007,151.740005,148.570007,150.270004,148.540421,106081600
2017-07-24,150.580002,153.990005,147.300003,149.500000,147.779282,105818100
2017-07-31,149.899994,159.750000,148.130005,156.389999,154.589981,172808500
2017-08-07,157.059998,161.830002,154.630005,157.479996,155.667435,151269100
2017-08-14,159.320007,162.509995,156.720001,157.500000,156.298584,134628500
2017-08-21,157.500000,160.740005,155.110001,159.860001,158.640594,112671200
2017-08-28,160.139999,164.940002,159.929993,164.050003,162.798615,126128700
2017-09-04,163.750000,164.250000,158.529999,158.630005,157.419983,101660200
2017-09-11,160.500000,163.960007,157.910004,159.880005,158.660431,220582600
2017-09-18,160.110001,160.500000,150.559998,151.889999,150.731384,186188500
2017-09-25,149.990005,154.720001,149.160004,154.119995,152.944366,154856800
2017-10-02,154.259995,155.490005,152.460007,155.300003,154.115372,93784300
2017-10-09,155.809998,158.000000,155.100006,156.990005,155.792496,81304800
2017-10-16,157.899994,160.869995,155.020004,156.250000,155.058121,126051300
2017-10-23,156.889999,163.600006,155.270004,163.050003,161.806259,122403300
2017-10-30,163.889999,174.259995,163.720001,172.500000,171.184174,215177400
2017-11-06,172.369995,176.240005,171.720001,174.669998,173.337601,138425400
2017-11-13,173.500000,174.500000,168.380005,170.149994,169.459091,116459700
2017-11-20,170.289993,175.500000,169.559998,174.970001,174.259521,81009300
2017-11-27,175.050003,175.080002,167.160004,171.050003,170.355438,170098500
2017-12-04,172.479996,172.619995,166.460007,169.369995,168.682251,137481100
2017-12-11,169.199997,174.169998,168.789993,173.970001,173.263580,139147200
2017-12-18,174.880005,177.199997,173.250000,175.009995,174.299362,117632400
2017-12-25,170.800003,171.850006,169.220001,169.229996,168.542831,97163800
2018-01-01,170.160004,175.369995,169.259995,175.000000,174.289398,101168400
2018-01-08,174.350006,177.360001,173.000000,177.089996,176.370911,110197500
2018-01-15,177.899994,180.100006,175.070007,178.460007,177.735352,127571200
2018-01-22,177.300003,179.440002,170.059998,171.509995,170.813568,191574800
2018-01-29,170.160004,170.160004,160.100006,160.500000,159.848282,262992100
2018-02-05,159.100006,163.880005,150.240005,156.410004,155.774887,317654000
2018-02-12,158.500000,174.820007,157.509995,172.429993,172.429993,225336900
2018-02-19,172.050003,175.649994,171.009995,175.500000,175.500000,136206400
2018-02-26,176.350006,180.619995,172.449997,176.210007,176.210007,202128400
2018-03-05,175.210007,180.000000,174.270004,179.979996,179.979996,139852700
2018-03-12,180.289993,183.500000,177.619995,178.020004,178.020004,155417500
2018-03-19,177.320007,177.470001,164.940002,164.940002,164.940002,172670700
2018-03-26,168.070007,175.149994,165.190002,167.779999,167.779999,157898400
2018-03-29,167.804993,171.750000,166.899994,167.779999,167.779999,38398505
